"year","volume","issue","doi","journal","title","abstract"
2015,1,1,"10.1177/2394964315569624","Journal of Creating Value","Value Promise versus Value Delivery","This article is about the inevitability for organizations to move away from offering ‘commodity' customer service to an ‘on brand’ customer service. This article focuses on the need for organizations to align the promises that they are making while communicating the benefits of their brand with their current and potential customers, with the actual delivery of that promise. The benefits of such an alignment will result in stronger brand equity, greater customer centricity, increased levels of loyalty and concrete differentiation in the marketplace. The article begins with a review of the current situation of ‘on brand’ service gauging some of the reasons as to why delivery is not aligned with the promises made by the brand, and showcases some success stories. The article then discusses a tool that provides organizations with the ability to translate the brand promise into service delivery at every customer interaction resulting in authentic and memorable ‘moments-of-truth’ for the customer. This article is based on the author's experiences, observations, empirical evidence, and formal and informal discussions with his clients and non-clients."
2015,1,1,"10.1177/2394964315569625","Journal of Creating Value","Brain Waves Predict Success of New Fashion Products: A Practical Application for the Footwear Retailing Industry","Every year, retailers launch a myriad of new products. The success rate of such new products directly influences a retailer's success in terms of gross profit, customer loyalty and brand image. In the past decades, many self-report and focus group based methods were implemented to gain insights in future market performance of new products. However, social psychology and market research studies have established that self-reports are unreliable to accurately predict customer preference. In this article, we propose a novel approach based on brain data to forecast product performance and discuss the importance of pre-market forecasting in the footwear retailing industry. We implemented and validated the tool in collaboration with a European shoe store chain. This case study showed that self-report based methods cannot accurately foretell success, while using brain data the prediction accuracy reached 80 per cent. We also compared how these two different methods might influence company gross profit. Simulations based on sales data showed that self-report based prediction would lead to a 12.1 per cent profit growth, while brain scan based prediction would increase profit by 36.4 per cent. Thus, this innovative neuroscientific approach greatly improves brand image and brings considerable value for organizations, shareholders as well as consumers."
2015,1,1,"10.1177/2394964315569630","Journal of Creating Value","Service Integrated Relationships (SIR): A Strategic Process Framework for Managing the Customer as a Resource","During a service interaction, a customer should be viewed as having three distinct capacities: as a client, as a connection and as a resource. In each of these respective capacities, service ( S ) processes, relationship ( R ) processes and loyalty ( L ) processes create value for both customers and organizations. Satisfactory service is the minimum requirement for relationship processes to be effective and for the connection capacity to be activated. Likewise, high relationship quality is a minimal condition for loyalty processes to be effective and for the resource capacity to be activated. After presenting the measurable and actionable dimensions of relationship quality, I explain the difference between service processes and relationship processes. According to the service integrated relationships (SIR) framework, when relationship processes are integrated with existing service processes: ( a ) relationship quality improves; ( b ) loyal customer behaviours are evoked; and ( c ) service satisfaction improves. I conclude by discussing implications of the SIR framework for organizational systems and service employees."
2015,1,1,"10.1177/2394964315569634","Journal of Creating Value","Just Follow the Yellow Brick Road: A Manager's Guide to Implementing Value Creation in Your Organization","The topic of value creation has become of utmost importance over the last few years; however, most managers have still not implemented it in their organizations. One reason for the delay is the lack of a blueprint as to how to do it, and what it entails. This article seeks to remedy that problem by laying out the steps for the creation of the Chief Customer Feedback Officer (CCFO), the nine different functions his office is entrusted with, and how they create value for the organization by providing a customer compass for the strategic direction of the organization. Some of the nine functions currently exist in the organization but are out of place and cannot influence the strategic direction of the organization. It is only by implementing all nine functions with the backing of top management that an organization can successfully become customer-centric, creating value for all of its stakeholders."
2015,1,1,"10.1177/2394964315569635","Journal of Creating Value","Powered by Customers: Relationship Is Key to Surviving 100 Years in Business","Powered by customers is about new business models and organizations that are required in order for businesses to survive and thrive in the modern global economy by focusing on customer success and new value creation. History has shown that service has been a key driver for financial success and longevity of businesses. Relationship with customers, that is, understanding their needs and what makes them successful, has been key for successful companies to thrive for periods in excess of 100 years. Services have shown to be a key provider of those touch points and data that foster an ongoing customer relationships for longevity and market leadership."
2015,1,1,"10.1177/2394964315569636","Journal of Creating Value","Strategic Customer Brand-bonding: Building Personalized Value and Loyal Behaviour through Obsessive Focus, Discipline, and Innovative and Engaging Communication","As organizations move from push, fairly generic and commodized marketing and general, passive customer awareness to customer-centricity and understanding/leveraging of customer needs and expectations, we have progressed from functional value delivery to emotion-based relationships and optimized, personalized experience. This has rendered the marketing 4Ps, devised by academics Neil Borden and Jerome McCarthy in the early 1960s, pretty much that, that is, academic and impractical in today's connected, mobile, content-seeking world. Organizations are branding experiences, empowering employees and building humanity and trust into the product and service value they deliver. There is a new set of 4Ps, and perhaps 5Ps, which organizations will require to become world-class, strategically differentiated enterprises."
2015,1,1,"10.1177/2394964315569638","Journal of Creating Value","The Right Choice—What Does It Mean? Groundbreaking Research from the Early Days of Customer Value Management","During the early 1980s, if one were to research the expressions, value management or value creation at your local library, 99 per cent of the articles and books would be on shareholder value. The only reference to customer value would be advertising articles that promised ‘new improved value’, marketing hype for consumer goods, such as larger sized laundry detergent boxes. Shareholder value management had 100 years of art and science for measuring and managing financials complete with standards and guidelines and government-mandated reporting rules and regulations. There were none to help businesses measure, manage or create customer value. Michael Porter from Harvard University just published his book on competitive strategy stating you can compete on quality or price, pick your competitive strategy. The early days of the world-wide quality revolution was in full swing. Quality was designed by engineers and measured by quality experts in the firm. If you asked anyone what the purpose of a business was the answer would be ‘to make money’ or ‘to create value for the shareholde’. But global competition was increasing. Customer choice was exploding. The customer was flexing his or her power of choice and voting not for either the best quality or the best price, but for both. They wanted the best value. Quality now would be measured by the customer perceptions in the marketplace not engineers or quality-control experts. Goodness of price would be determined by the marketplace. The resulting perceived value of goods and services would be judged by the customer. The real purpose of a business was becoming clear, to improve the quality of life and create value for the customers. Firms that did it best would thrive and survive. To win, business managers needed new concepts, tools and methods for creating and managing customer value. The following article is a 1989 paper that reported on some of the most significant findings in the early days of customer value measurement and management. It is based on one of the largest empirical data bases available at that time. AT&T was doing over 60,000 customer surveys per month. Three years of monthly findings were analyzed by some of the best researchers and scientists in the 300k employee and $85 billion annual revenue company. The paper presented empirical evidence of the power of the consumer's perception of customer value, its impact on market share, growth and customer loyalty and ultimately its impact on shareholder value and employee value. The paper was never published, but it was released throughout AT&T and also to AT&T's strategic business partners. Its content was presented and discussed at national conferences hosted by the American Marketing Association and the US Conference Board. Its findings have stood the test of time. It is published here for the first time. It is important to note that today AT&T is a completely different company from then in 1989. Since then the company split into three separate businesses, AT&T, Lucent and NCR. The portion of the business that kept the name later merged with another communications company."
2015,1,1,"10.1177/2394964315569639","Journal of Creating Value","Value Creation in International Physical Retailing","Value creation is the central idea in any retail activity. The key to sustainable business success is the generation of significant value for the customer, as it is the customers that generate the margins upon which retailers' sustainable operations depends. By definition, when value is created for customers, value for the business follows. In an empirical study, we quantitatively investigate the value creation capability of some of the largest food and fashion retailers worldwide on the basis of two financial ratios, that is, their q-ratio and their long-term revenue growth. In a subsequent qualitative analysis, the business strategies of firms with higher and lower value creation capabilities are compared with the objective to identify success factors for value creation. In food retailing, formats that employ discounting strategies and backward integration strategies are among the more successful strategic approaches. Apparently, these approaches are superior in creating significant value for the customer. In fashion retailing, backward integration and fast-fashion strategies turn out to be leading to superior value propositions."
2015,1,1,"10.1177/2394964315569640","Journal of Creating Value","Making Engagement Worth It: Measuring and Managing How Entrepreneurs Exchange Value with Their Community","While business leaders use the tools of Customer Value Management to understand and improve the value they offer to customers, the potential for these tools to explain and improve decision-making expands beyond the business–customer relationship. This is because the cornerstone framework of measuring and improving a value exchange applies to all sorts of decisions. We present a case study in which Customer Value Management techniques were used to analyze the value of a particular community through the perspective of entrepreneurs themselves, allowing us to uncover how entrepreneurs decide whether it is ‘worth it’ to start a business in their community. We also demonstrate a strong link between the value perceived by entrepreneurs and their loyalty to the community, showing ‘how good is good’ when it comes to enticing entrepreneurs to engage with and promote the local startup ecosystem. This case study offers a framework that can be used by community leaders to manage the value exchange with members and constituents in the community. Once leaders better understand the value proposition that drives decisions among community members, they are empowered to maximize that value by focusing scarce resources on the greatest opportunities for improvement. By doing this, they help foster genuine loyalty and deeper engagement among community members, which helps generate growth and development that creates even more value for the region."
2015,1,1,"10.1177/2394964315569642","Journal of Creating Value","What Is the Value of an Address?","The history of street addressing and several different examples of valuing address systems are explored. The valuation calculations from the US, UK, Denmark and Costa Rica each have unique aspects. The fact that ‘without an address you do not exist', and thus cannot participate fully in economic, political and civil society is noted and the consequences from several points of view explored. A recommendation to find new ways of valuing the address is put forward. Information is provided about a current Universal Postal Union competition in solving ‘addressless situations' and participation is urged."
